"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"7/01/2014","Shell","SHELL OIL 57444595300","57.43","debit","Gas & Fuel","Chase freedom CC","",""
"7/01/2014","AMC","AMC THEATRES ONLINE","8.00","debit","Movies & DVDs","Chase freedom CC","",""
"7/01/2014","Groupon","GROUPON INC","6.99","debit","Movies & DVDs","Chase freedom CC","",""
"6/30/2014","Check 212","CHECK 212 072692357","500.00","debit","Mortgage & Rent","Spend - everyday spending","",""
"6/30/2014","Check 213","CHECK 213 070685400","50.00","debit","Irregular Expenses","Spend - everyday spending","","Apartment application fee"
"6/30/2014","Paycheck","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","2662.93","credit","Paycheck","Chase Checking","",""
"6/28/2014","Bmw","BMWFINANCIAL SVS BMWFS PYMTPPD ID: 1222568977","619.45","debit","Auto Payment","Chase Checking","",""
"6/27/2014","Amazon","DEBIT CARD PURCHASE XXXXX4884 AmazonLocal www.amazonl WA","7.00","debit","Movies & DVDs","Spend - everyday spending","",""
"6/25/2014","Transfer from Chase Checking","Payment Thank You-Mobile","55.82","credit","Credit Card Payment","Chase Amazon Rewards CC","",""
"6/25/2014","Transfer to Chase Amazon Rewards CC","Payment to Chase card ending in6781","55.82","debit","Credit Card Payment","Chase Checking","",""
"6/25/2014","Rebtel Services Luxembourg","DEBIT CARD PURCHASE XXXXX4884 REBTEL SERVICES LUXEMBOURG LU","10.00","debit","Entertainment","Spend - everyday spending","",""
"6/25/2014","Foreign Transaction Fee","INTERNATIONAL POS FEE VIS 0624 LU","0.30","debit","Service Fee","Spend - everyday spending","","Rebtel"
"6/25/2014","Linkedin Corpora","CORPORATE ACH 100829809 LINKEDIN CORPORA 100829809","1408.80","credit","Reimbursement","Spend - everyday spending","","Monthly expense reimbursement"
"6/24/2014","Amazon","AMAZON MKTPLACE PMTS","55.82","debit","Furnishings","Chase Amazon Rewards CC","",""
"6/24/2014","Udemy","PaymentTo Udemy","10.00","debit","Education","PayPal Smart Connect","",""
"6/23/2014","PayPal","ACH WEB-SINGLE 4CCJ2864US276 PAYPAL ECHECK","71.46","debit","Credit Card Payment","Spend - everyday spending","",""
"6/22/2014","Fandango","FANDANGO.COM","13.25","debit","Movies & DVDs","Chase Southwest CC","",""
"6/21/2014","Paymentto Jeffrey Bartlo","PaymentTo Jeffrey Bartlo","89.00","debit","Uncategorized","PayPal Smart Connect","",""
"6/19/2014","Lucky","POS PURCHASE POS99253701 0512967 LUCKY #729.MOU MOUNTAIN VIE CA","702.00","debit","Groceries","Spend - everyday spending","",""
"6/18/2014","PayPal","ACH WEB-SINGLE SCCTECHCO PAYPAL INST XFER","400.00","debit","Shopping","Spend - everyday spending","",""
"6/17/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"6/17/2014","Amazon","ACH WEBSINGLE XXXXX6426 AMAZON CREDIT AMZC EPAY","559.04","debit","Shopping","Spend - everyday spending","",""
"6/17/2014","Banana Br Epay","ACH WEBSINGLE XXXXX7715 BANANA VISA BR EPAY","3825.75","debit","Credit Card Payment","Spend - everyday spending","",""
"6/16/2014","GoDaddy.com","PaymentTo GoDaddy.com LLC","30.17","debit","Business Services","PayPal Smart Connect","",""
"6/16/2014","PayPal","ACH WEB-SINGLE FRONTEND MA PAYPAL INST XFER","17.29","debit","Shopping","Spend - everyday spending","",""
"6/15/2014","Paymentto Gearxs Com","PaymentTo GearXS.com","24.99","debit","Uncategorized","PayPal Smart Connect","",""
"6/15/2014","Paymentto Dailysteals","PaymentTo DailySteals","9.99","debit","Uncategorized","PayPal Smart Connect","",""
"6/13/2014","Linkedin Corpora Direct","LINKEDIN CORPORA DIRECT DEPPPD ID: 9111111102","2662.94","credit","Paycheck","Chase Checking","",""
"6/13/2014","Interest Charged Purchases","Interest Charged on Purchases C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"6/13/2014","Interest Charged Bank","Interest Charged on Bank Cash Advances C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"6/13/2014","Interest Charged Dir","Interest Charged on Dir Dep&Chk CashAdv C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"6/13/2014","Interest Charged Balance","Interest Charged on Balance Transfers C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"6/12/2014","Transfer to BankAmericard Platinum Plus Visa","ACH WEBSINGLE CKFXXXXX3498POS BK OF AMER VI/MC ONLINE PMT","500.00","debit","Credit Card Payment","Spend - everyday spending","",""
"6/12/2014","Paymentto Rearthusa","PaymentTo RearthUSA","5.00","debit","Uncategorized","PayPal Smart Connect","",""
"6/11/2014","Transfer to CREDIT CARD","ACH DEBIT XXXXX4428 CHASE AUTOPAY","13.81","debit","Credit Card Payment","Spend - everyday spending","",""
"6/11/2014","Paymentto Emallbox","PaymentTo EMALLBOX","3.48","debit","Uncategorized","PayPal Smart Connect","",""
"6/11/2014","Transfer from Spend - everyday spending","BA ELECTRONIC PAYMENT","500.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"6/10/2014","Transfer from Spend - everyday spending","AUTOMATIC PAYMENT - THANK","13.81","credit","Credit Card Payment","Chase freedom CC","",""
"6/09/2014","PayPal","ACH WEB-SINGLE 4CCJ2858NFYNW PAYPAL INST XFER","29.70","debit","Shopping","Spend - everyday spending","",""
"6/09/2014","iTunes","DEBIT CARD PURCHASE XXXXX4884 APLAPPLE ITUNES STORE XXXXX7753 CA","1.99","debit","Music","Spend - everyday spending","",""
"6/09/2014","Paymentto Olive Yew","PaymentTo Olive Yew Jewels","55.99","debit","Uncategorized","PayPal Smart Connect","",""
"6/08/2014","Interest Charge","PURCHASE INTEREST CHARGE","9.99","debit","Finance Charge","Chase Southwest CC","",""
"6/06/2014","E Trade Ach","ACH CREDIT XXXXX1749 E*TRADE ACH TRNSFR","6810.72","credit","Bonus","Spend - everyday spending","",""
"6/06/2014","Transfer to CREDIT CARD","ACH DEBIT XXXXX3937 CHASE AUTOPAY","25.00","debit","Credit Card Payment","Spend - everyday spending","",""
"6/05/2014","Transfer from Spend - everyday spending","AUTOMATIC PAYMENT - THANK","25.00","credit","Credit Card Payment","Chase Southwest CC","",""
"6/05/2014","Banana Br Epay","ACH WEBSINGLE XXXXX8503 BANANA VISA BR EPAY","2000.00","debit","Credit Card Payment","Spend - everyday spending","",""
"6/04/2014","Avis","AVIS RENT-A-CAR 1","82.92","debit","Rental Car & Taxi","Chase Southwest CC","",""
"6/04/2014","Transfer to CREDIT CARD","ACH DEBIT XXXXX8858 CHASE AUTOPAY","25.00","debit","Credit Card Payment","Spend - everyday spending","",""
"6/03/2014","Transfer from Spend - everyday spending","AUTOMATIC PAYMENT - THANK","25.00","credit","Credit Card Payment","Chase Slate","",""
"6/03/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"6/02/2014","PayPal","ACH WEB-SINGLE 4CCJ284L39FFQ PAYPAL ECHECK","52.39","debit","Shopping","Spend - everyday spending","",""
"6/01/2014","Annual Membership Fee","ANNUAL MEMBERSHIP FEE","99.00","debit","Fees & Charges","Chase Southwest CC","",""
"5/30/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX5522ZD LINKEDIN CORPORA DIRECT DEP","2449.71","credit","Paycheck","Spend - everyday spending","",""
"5/29/2014","Bmwfinancial Svs Bmwfs","ACH DEBIT XXXXX0662 BMWFINANCIAL SVS BMWFS PYMT","619.45","debit","Auto Payment","Spend - everyday spending","",""
"5/29/2014","ATM Fee Reimbursement","ATM TRANSACTION FEE REIMBURSEMENT","2.50","credit","Income","Spend - everyday spending","",""
"5/29/2014","Purchasefrom Itechdeals Com","PurchaseFrom itechdeals.com","6.99","debit","Uncategorized","PayPal Smart Connect","",""
"5/27/2014","ATM Fee","ATM WITHDRAWAL MACHY00877N0525 4884 15 TRANSPORTATION EAST BOSTON MA","2.50","debit","ATM Fee","Spend - everyday spending","",""
"5/27/2014","ATM Withdrawal Machy","ATM WITHDRAWAL MACHY00877N0525 4884 15 TRANSPORTATION EAST BOSTON MA","200.00","debit","Cash & ATM","Spend - everyday spending","",""
"5/27/2014","ATM Withdrawal Fee","ATM WITHDRAWAL FEE","2.50","debit","ATM Fee","Spend - everyday spending","",""
"5/27/2014","Amazon","RECURRING CHECK CARD XXXXX4145 AmazonPrime Membership amzn.com/pr NV","53.29","debit","Shopping","Spend - everyday spending","",""
"5/26/2014","Target","GOOGLE *Target","5.98","debit","Shopping","Chase freedom CC","",""
"5/26/2014","Smart & Final","GOOGLE *SmartandFinal","4.01","debit","Groceries","Chase freedom CC","",""
"5/21/2014","Amazon","ACH DEBIT XXXXX6389 AMAZON PAYMENT","150.00","debit","Shopping","Spend - everyday spending","",""
"5/18/2014","Fandango","FANDANGO.COM","20.50","debit","Movies & DVDs","Chase Southwest CC","",""
"5/16/2014","PayPal","ACH WEB-SINGLE 4CCJ283KRYD66 PAYPAL INST XFER","39.00","debit","Shopping","Spend - everyday spending","",""
"5/16/2014","PayPal","ACH WEB-SINGLE 4CCJ283J5CWN2 PAYPAL INST XFER","7.99","debit","Shopping","Spend - everyday spending","",""
"5/16/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"5/15/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX4242ZD LINKEDIN CORPORA DIRECT DEP","2354.88","credit","Paycheck","Spend - everyday spending","",""
"5/14/2014","Interest Charged Purchases","Interest Charged on Purchases C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"5/14/2014","Interest Charged Dir","Interest Charged on Dir Dep&Chk CashAdv C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"5/14/2014","Interest Charged Bank","Interest Charged on Bank Cash Advances C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"5/14/2014","Interest Charged Balance","Interest Charged on Balance Transfers C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"5/12/2014","Transfer from Spend - everyday spending","BA ELECTRONIC PAYMENT","500.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"5/12/2014","Check 211","CHECK 211 074636718","500.00","debit","Check","Spend - everyday spending","",""
"5/12/2014","Transfer to Bank of America Platinum Plus Visa","ACH WEBSINGLE CKFXXXXX3498POS BK OF AMER VI/MC ONLINE PMT","500.00","debit","Credit Card Payment","Spend - everyday spending","",""
"5/11/2014","Purchasefrom Saurikit Llc","PurchaseFrom SaurikIT LLC","9.99","debit","Electronics & Software","PayPal Smart Connect","",""
"5/08/2014","Interest Charge","PURCHASE INTEREST CHARGE","13.65","debit","Finance Charge","Chase Southwest CC","",""
"5/06/2014","Target","GOOGLE *Target","7.73","debit","Shopping","Chase freedom CC","",""
"5/06/2014","Walgreens","GOOGLE *Walgreens Co","3.58","debit","Pharmacy","Chase freedom CC","",""
"5/06/2014","For New Checking","$150 for New Checking","150.00","credit","Income","Chase Checking","",""
"5/06/2014","Banana Br Epay","ACH WEBSINGLE XXXXX3082 BANANA VISA BR EPAY","2000.00","debit","Credit Card Payment","Spend - everyday spending","",""
"5/05/2014","Southwest Airlines","SOUTHWES    5262412436354","2.50","debit","Air Travel","Chase freedom CC","",""
"5/05/2014","Chase Autopay","ACH DEBIT XXXXX9489 CHASE AUTOPAY","25.00","debit","Credit Card Payment","Spend - everyday spending","",""
"5/05/2014","PayPal","ACH WEB-SINGLE 4CCJ282LE2RG8 EVAN PURCER IAT PAYPAL","12.00","debit","Shopping","Spend - everyday spending","",""
"5/02/2014","Automatic Thank","AUTOMATIC PAYMENT - THANK","25.00","credit","Credit Card Payment","Chase Slate","",""
"5/01/2014","Transfer to CREDIT CARD","ACH WEBSINGLE XXXXX2940 CHASE EPAY","90.93","debit","Credit Card Payment","Spend - everyday spending","",""
"5/01/2014","Transfer to CREDIT CARD","ACH WEBSINGLE XXXXX3688 CHASE EPAY","546.48","debit","Credit Card Payment","Spend - everyday spending","",""
"5/01/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"4/30/2014","Transfer from Spend - everyday spending","Payment Thank You - Web","90.93","credit","Credit Card Payment","Chase freedom CC","",""
"4/30/2014","Transfer from Spend - everyday spending","Payment Thank You - Web","546.48","credit","Credit Card Payment","Chase Southwest CC","",""
"4/30/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX3372ZD LINKEDIN CORPORA DIRECT DEP","2335.42","credit","Paycheck","Spend - everyday spending","",""
"4/30/2014","Vision Direct","PaymentTo Vision Direct Inc","121.97","debit","Eyecare","PayPal Smart Connect","",""
"4/29/2014","Bmwfinancial Svs Bmwfs","ACH DEBIT XXXXX2976 BMWFINANCIAL SVS BMWFS PYMT","619.45","debit","Auto Payment","Spend - everyday spending","",""
"4/28/2014","Transfer from Spend - everyday spending","DEPOSIT  ID NUMBER 943949","200.00","credit","Transfer","Chase Checking","",""
"4/28/2014","Transfer to TOTAL CHECKING","CHECK 226 072397365","200.00","debit","Transfer","Spend - everyday spending","",""
"4/22/2014","Amazon","ACH DEBIT XXXXX6389 AMAZON PAYMENT","150.00","debit","Shopping","Spend - everyday spending","",""
"4/21/2014","Paymentto Apex Mart","PaymentTo Apex Mart","6.69","debit","Gas & Fuel","PayPal Smart Connect","",""
"4/16/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"4/16/2014","Chiropractic Performan","CHECK CARD PURCHASE XXXXX4884 CHIROPRACTIC PERFORMAN MOUNTAIN VI CA","259.00","debit","Doctor","Spend - everyday spending","",""
"4/15/2014","Munchery Ca","CHECK CARD PURCHASE XXXXX4884 MUNCHERY INC XXXXX5376 CA","26.45","debit","Restaurants","Spend - everyday spending","",""
"4/15/2014","Check 210","CHECK 210 073398287","500.00","debit","Check","Spend - everyday spending","",""
"4/15/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX2512ZD LINKEDIN CORPORA DIRECT DEP","2335.42","credit","Paycheck","Spend - everyday spending","",""
"4/15/2014","Pham Si Capitalone","ACH WEBSINGLE XXXXX8081 PHAM,SI CAPITALONE","4500.00","debit","Uncategorized","Spend - everyday spending","",""
"4/14/2014","Ckfxxxxx Bk Amer","ACH WEBSINGLE CKFXXXXX3498POS BK OF AMER VI/MC ONLINE PMT","51.00","debit","Credit Card Payment","Spend - everyday spending","",""
"4/14/2014","PayPal","ACH WEB-SINGLE 4CCJ27YUW2MVU PAYPAL INST XFER","40.00","debit","Shopping","Spend - everyday spending","",""
"4/12/2014","Interest Charged Balance","Interest Charged on Balance Transfers","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"4/12/2014","Interest Charged Dir","Interest Charged on Dir Dep&Chk CashAdv","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"4/12/2014","Interest Charged Bank","Interest Charged on Bank Cash Advances","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"4/12/2014","Interest Charged Purchases","Interest Charged on Purchases","0.69","debit","Finance Charge","BankAmericard Platinum Plus Visa","",""
"4/11/2014","Target","GOOGLE *Target","19.79","debit","Shopping","Chase freedom CC","",""
"4/11/2014","E Trade Ach","ACH CREDIT XXXXX0749 E*TRADE ACH TRNSFR","5034.46","credit","Bonus","Spend - everyday spending","",""
"4/11/2014","Ba Electronic","BA ELECTRONIC PAYMENT","51.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"4/08/2014","PayPal","ACH WEB-SINGLE 4CCJ27YFJYJ34 TUTS ENVATO PTY IAT PAYPAL","19.00","debit","Shopping","Spend - everyday spending","",""
"4/08/2014","Banana Br Epay","ACH WEBSINGLE XXXXX2529 BANANA VISA BR EPAY","2066.70","debit","Credit Card Payment","Spend - everyday spending","",""
"4/08/2014","Interest Charge","PURCHASE INTEREST CHARGE","16.30","debit","Finance Charge","Chase Southwest CC","",""
"4/07/2014","Chase Autopay","ACH DEBIT XXXXX1779 CHASE AUTOPAY","25.00","debit","Credit Card Payment","Spend - everyday spending","",""
"4/04/2014","Chase Autopay","ACH DEBIT XXXXX5524 CHASE AUTOPAY","39.00","debit","Credit Card Payment","Spend - everyday spending","",""
"4/04/2014","Automatic Thank","AUTOMATIC PAYMENT - THANK","25.00","credit","Credit Card Payment","Chase Southwest CC","",""
"4/03/2014","Transfer from Spend - everyday spending","AUTOMATIC PAYMENT - THANK","39.00","credit","Credit Card Payment","Chase Slate","",""
"4/02/2014","iTunes","CHECK CARD PURCHASE XXXXX4884 APLAPPLE ITUNES STORE XXXXX7753 CA","9.99","debit","Music","Spend - everyday spending","",""
"4/02/2014","PayPal","ACH WEB-SINGLE 4CCJ27XW4M6V8 PAYPAL INST XFER","7.99","debit","Shopping","Spend - everyday spending","",""
"4/02/2014","Paymentto Jomashop Com","PaymentTo jomashop.com","9.98","debit","Uncategorized","PayPal Smart Connect","",""
"4/01/2014","Target","GOOGLE *Target","4.45","debit","Shopping","Chase freedom CC","",""
"4/01/2014","Office Depot","GOOGLE *Office Depot","3.26","debit","Office Supplies","Chase freedom CC","",""
"4/01/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"4/01/2014","PayPal","ACH WEB-SINGLE 4CCJ27XUKVWJ6 FINVIZ LTD. IAT PAYPAL","39.50","debit","Shopping","Spend - everyday spending","",""
"3/31/2014","Foreign Transaction Fee","INTERNATIONAL POS FEE VIS 0328 LU","0.30","debit","Service Fee","Spend - everyday spending","",""
"3/31/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX4602ZD LINKEDIN CORPORA DIRECT DEP","2233.84","credit","Paycheck","Spend - everyday spending","",""
"3/31/2014","Bmwfinancial Svs Bmwfs","ACH DEBIT XXXXX8876 BMWFINANCIAL SVS BMWFS PYMT","619.45","debit","Auto Payment","Spend - everyday spending","",""
"3/31/2014","Rebtel Services Luxembourg","CHECK CARD PURCHASE XXXXX4884 REBTEL SERVICES LUXEMBOURG LU","10.00","debit","Irregular Expenses","Spend - everyday spending","",""
"3/27/2014","99 Ranch Market","POS PURCHASE POS31622802 0484293 99 RANCH MARKE MILPITAS CA","107.98","debit","Groceries","Spend - everyday spending","",""
"3/27/2014","Groupon","GROUPON INC","60.00","debit","Uncategorized","Chase freedom CC","",""
"3/26/2014","E Trade Ach","ACH DEBIT XXXXX3749 E*TRADE ACH TRNSFR","5000.00","debit","Transfer","Spend - everyday spending","",""
"3/24/2014","Wpya Tornado Shelter","CHECK CARD PURCHASE XXXXX4884 WPYA Tornado Shelter XXXXX3729 CA","15.00","debit","Uncategorized","Spend - everyday spending","",""
"3/21/2014","Amazon","ACH WEBSINGLE XXXXX1163 AMAZON CREDIT AMZC EPAY","1372.24","debit","Shopping","Spend - everyday spending","",""
"3/20/2014","Motorola","MOTOROLA DIRECT","380.61","credit","Electronics & Software","BankAmericard Platinum Plus Visa","",""
"3/19/2014","Target","GOOGLE *Target","14.68","debit","Shopping","Chase freedom CC","",""
"3/19/2014","Check 227","CHECK 227 072855344","500.00","debit","Check","Spend - everyday spending","",""
"3/19/2014","PayPal","ACH WEB-SINGLE 4CCJ27WQECZ6G PAYPAL ECHECK","1033.46","debit","Shopping","Spend - everyday spending","",""
"3/18/2014","Combatgent Com","COMBATGENT.COM","43.50","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"3/18/2014","Chase Epay","ACH WEBSINGLE XXXXX5203 CHASE EPAY","1001.85","debit","Bills & Utilities","Spend - everyday spending","",""
"3/18/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX8081 PHAM,SI CAPITALONE","250.00","debit","Transfer","Spend - everyday spending","",""
"3/18/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX2156 PHAM,SI CAPITALONE","50.00","debit","Transfer","Spend - everyday spending","",""
"3/17/2014","Paymentto T L","PaymentTo T.L.C. INC. D/B/A LOTZZASTUFF","24.49","debit","Sporting Goods","PayPal Smart Connect","",""
"3/17/2014","Transfer from Spend - everyday spending","Payment Thank You - Web","1001.85","credit","Credit Card Payment","Chase freedom CC","",""
"3/14/2014","Transfer to Bank of America Platinum Plus Visa","ACH WEBSINGLE CKFXXXXX3498POS BK OF AMER VI/MC ONLINE PMT","30.00","debit","Credit Card Payment","Spend - everyday spending","",""
"3/14/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX2452ZD LINKEDIN CORPORA DIRECT DEP","6920.01","credit","Paycheck","Spend - everyday spending","",""
"3/14/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX2442ZD LINKEDIN CORPORA DIRECT DEP","2260.34","credit","Paycheck","Spend - everyday spending","",""
"3/14/2014","Interest Charged Dir","Interest Charged on Dir Dep&Chk CashAdv C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"3/14/2014","Interest Charged Bank","Interest Charged on Bank Cash Advances C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"3/14/2014","Interest Charged Purchases","Interest Charged on Purchases C_BANKCHARGES","4.24","debit","Bank Fee","BankAmericard Platinum Plus Visa","",""
"3/14/2014","Interest Charged Balance","Interest Charged on Balance Transfers C_BANKCHARGES","0.00","credit","Interest Income","BankAmericard Platinum Plus Visa","",""
"3/14/2014","Late Charge Adjustment","LATE CHARGE ADJUSTMENT C_FEES","21.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"3/13/2014","Vis Audible Nj","CHECK CARD CREDIT 8321540002 VIS 0313 Audible XXXXX5051 NJ","14.95","credit","Reimbursement","Spend - everyday spending","",""
"3/13/2014","Vis Audible Nj","CHECK CARD CREDIT 8321440002 VIS 0313 Audible XXXXX5051 NJ","14.95","credit","Reimbursement","Spend - everyday spending","",""
"3/13/2014","Vis Audible Nj","CHECK CARD CREDIT 8321640002 VIS 0313 Audible XXXXX5051 NJ","14.95","credit","Reimbursement","Spend - everyday spending","",""
"3/13/2014","Vis Audible Nj","CHECK CARD CREDIT 8321740002 VIS 0312 Audible XXXXX5051 NJ","14.95","credit","Reimbursement","Spend - everyday spending","",""
"3/13/2014","Interest Charge","PURCHASE INTEREST CHARGE","17.75","debit","Finance Charge","Chase freedom CC","",""
"3/13/2014","Transfer from Spend - everyday spending","BA ELECTRONIC PAYMENT","30.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"3/12/2014","PayPal","ACH WEB-SINGLE 4CCJ27W4WWDRL PAYPAL INST XFER","1000.00","debit","Credit card","Spend - everyday spending","",""
"3/11/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX2156 PHAM,SI CAPITALONE","50.00","debit","Transfer","Spend - everyday spending","",""
"3/11/2014","Transfer to CREDIT CARD","ACH DEBIT XXXXX4197 CHASE AUTOPAY","29.00","debit","Credit Card Payment","Spend - everyday spending","",""
"3/10/2014","Spotify","ACH WEB-SINGLE 4CCJ27VUT4RLQ PAYPAL INST XFER","9.99","debit","Music","Spend - everyday spending","",""
"3/10/2014","Transfer from Spend - everyday spending","AUTOMATIC PAYMENT - THANK","29.00","credit","Credit Card Payment","Chase freedom CC","",""
"3/07/2014","Linkedin Corpora","CORPORATE ACH 100822304 LINKEDIN CORPORA 100822304","160.00","credit","Reimbursement","Spend - everyday spending","",""
"3/07/2014","Interest Charge","PURCHASE INTEREST CHARGE","10.84","debit","Finance Charge","Chase Southwest CC","",""
"3/06/2014","PayPal","ACH WEB-SINGLE J222222FCFZTA PAYPAL INST XFER","5000.00","debit","Send to family","Spend - everyday spending","",""
"3/06/2014","PayPal","ACH WEB-SINGLE J222222FCG4LS PAYPAL ECHECK","5000.00","debit","Send to family","Spend - everyday spending","",""
"3/05/2014","Transfer to CREDIT CARD","ACH WEBSINGLE XXXXX3362 CHASE EPAY","1000.00","debit","Credit Card Payment","Spend - everyday spending","",""
"3/05/2014","Banana Br Epay","ACH WEBSINGLE XXXXX6908 BANANA VISA BR EPAY","446.78","debit","Credit Card Payment","Spend - everyday spending","",""
"3/05/2014","Ccj Ve G","ACH CREDIT 4CCJ27VE6G5EW PAYPAL TRANSFER","2500.00","credit","From Anh Nai","Spend - everyday spending","",""
"3/05/2014","E Trade Ach","ACH CREDIT XXXXX9749 E*TRADE ACH TRNSFR","6665.93","credit","Bonus","Spend - everyday spending","",""
"3/04/2014","Foreign Transaction Fee","INTERNATIONAL POS FEE VIS 0303 LU","0.30","debit","Service Fee","Spend - everyday spending","",""
"3/04/2014","Rebtel Services Luxembourg","CHECK CARD PURCHASE XXXXX4884 REBTEL SERVICES LUXEMBOURG LU","10.00","debit","Irregular Expenses","Spend - everyday spending","",""
"3/04/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX2156 PHAM,SI CAPITALONE","50.00","debit","Transfer","Spend - everyday spending","",""
"3/04/2014","Transfer from Spend - everyday spending","Payment Thank You - Web","1000.00","credit","Credit Card Payment","Chase Slate","",""
"3/03/2014","Transfer to Bank of America Platinum Plus Visa","ACH WEBRECUR CKFXXXXX3498POS BK OF AMER VI/MC ONLINE PMT","30.00","debit","Credit Card Payment","Spend - everyday spending","",""
"3/03/2014","Audible.com","CHECK CARD PURCHASE XXXXX4884 Audible XXXXX5051 NJ","14.95","debit","Amusement","Spend - everyday spending","",""
"3/03/2014","E Trade Bank","ACH CREDIT XXXXX1671 E*TRADE BANK TRANSFER","0.28","credit","Transfer","Spend - everyday spending","",""
"3/03/2014","E Trade Bank","ACH CREDIT XXXXX1671 E*TRADE BANK TRANSFER","0.32","credit","Transfer","Spend - everyday spending","",""
"3/03/2014","E Trade Bank","ACH DEBIT XXXXX1671 E*TRADE BANK TRANSFER","0.60","debit","Transfer","Spend - everyday spending","",""
"3/03/2014","Groupon","CHECK CARD PURCHASE XXXXX4884 GROUPON INC XXXXX7858 IL","60.00","debit","Uncategorized","Spend - everyday spending","",""
"3/03/2014","Bmwfinancial Svs Bmwfs","ACH DEBIT XXXXX8524 BMWFINANCIAL SVS BMWFS PYMT","619.45","debit","Auto Payment","Spend - everyday spending","",""
"3/03/2014","Late Fee","LATE FEE","25.00","debit","Late Fee","Chase Slate","",""
"3/02/2014","Paymentto Shenzhen Atc","PaymentTo Shenzhen ATC Network Scienology Co.Ltd","5.93","debit","Uncategorized","PayPal Smart Connect","",""
"3/01/2014","Transfer from Spend - everyday spending","BA ELECTRONIC PAYMENT","30.00","credit","Credit Card Payment","BankAmericard Platinum Plus Visa","",""
"2/28/2014","Zd Linkedin Corpora","ACH CREDIT XXXXX5992ZD LINKEDIN CORPORA DIRECT DEP","2260.36","credit","Paycheck","Spend - everyday spending","",""
"2/27/2014","Tax Products Pe","ACH CREDIT XXXXX7324 TAX PRODUCTS PE3 SBTPG LLC","1956.03","credit","Taxes","Spend - everyday spending","",""
"2/27/2014","CA State Tax","ACH CREDIT XXXXX7324 FRANCHISE TAX BD TAX-REFUND","492.00","credit","State Tax","Spend - everyday spending","",""
"2/26/2014","Ccj Uuvjxxl Paypal","ACH CREDIT 4CCJ27UUVJXXL PAYPAL TRANSFER","73.00","credit","Transfer","Spend - everyday spending","",""
"2/25/2014","Pham Si Capitalone","ACH WEBRECUR XXXXX2156 PHAM,SI CAPITALONE","50.00","debit","Transfer","Spend - everyday spending","",""
"2/24/2014","Check 209","CHECK 209 073020921","500.00","debit","Check","Spend - everyday spending","",""
